epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.484,2.11004,1.96746,1.27336,0.67701,0.43749,0.46974,0.18478,2.07418,1.65702,1.41635,0.000332921,0.000332921,0.000332921
2,1348.34,2.08104,1.62125,1.25133,0.44415,0.5476,0.51152,0.20039,2.02271,1.59276,1.39801,0.000633275,0.000633275,0.000633275
3,2008.49,2.04677,1.54724,1.23494,0.67009,0.51476,0.58623,0.25887,1.92712,1.49878,1.37312,0.000900629,0.000900629,0.000900629
4,2665.98,2.00384,1.45598,1.2201,0.64041,0.48223,0.50414,0.22035,1.94097,1.76381,1.36724,0.0008515,0.0008515,0.0008515
5,3323.12,1.96549,1.37613,1.20104,0.55911,0.64978,0.64424,0.29072,1.86857,1.33556,1.32968,0.000802,0.000802,0.000802
6,3980.01,1.93314,1.34163,1.18617,0.7029,0.66604,0.69756,0.32191,1.82508,1.33857,1.32899,0.0007525,0.0007525,0.0007525
7,4636.9,1.90496,1.28614,1.1778,0.70029,0.64005,0.68783,0.31778,1.81136,1.20017,1.30266,0.000703,0.000703,0.000703
8,5294.2,1.88913,1.26345,1.17117,0.68778,0.67924,0.71204,0.33099,1.78332,1.27373,1.29352,0.0006535,0.0006535,0.0006535
9,5950.93,1.87988,1.23922,1.16543,0.72536,0.67471,0.71561,0.32987,1.76334,1.20041,1.28112,0.000604,0.000604,0.000604
10,6607.53,1.85522,1.18301,1.15612,0.74103,0.69902,0.74724,0.36377,1.76517,1.08456,1.27604,0.0005545,0.0005545,0.0005545
11,7263.77,1.82976,1.15125,1.19096,0.77736,0.66533,0.72268,0.3499,1.74325,1.13223,1.27767,0.000505,0.000505,0.000505
12,7917.68,1.81354,1.11815,1.18667,0.72276,0.69703,0.73063,0.35032,1.82719,1.16324,1.30019,0.0004555,0.0004555,0.0004555
13,8572.06,1.81124,1.1009,1.18168,0.77369,0.73309,0.7502,0.35549,1.75359,1.08266,1.28682,0.000406,0.000406,0.000406
14,9226.74,1.79333,1.07418,1.17285,0.79623,0.72669,0.78042,0.38578,1.74053,1.05128,1.26524,0.0003565,0.0003565,0.0003565
15,9881.93,1.77542,1.04488,1.17125,0.80629,0.79951,0.80283,0.40541,1.72669,1.03836,1.26173,0.000307,0.000307,0.000307
16,10536.6,1.75708,1.00686,1.1624,0.81804,0.80366,0.8165,0.40978,1.72032,1.01608,1.25694,0.0002575,0.0002575,0.0002575
17,11190.8,1.7356,0.99121,1.1514,0.81656,0.79386,0.81013,0.415,1.71032,0.98644,1.25387,0.000208,0.000208,0.000208
18,11846.3,1.72271,0.96889,1.1497,0.8184,0.78271,0.8078,0.40713,1.71763,0.98247,1.25283,0.0001585,0.0001585,0.0001585
19,12501.3,1.70169,0.94105,1.13682,0.83568,0.78942,0.81963,0.4153,1.70647,0.97164,1.25005,0.000109,0.000109,0.000109
20,13157.1,1.68201,0.91912,1.13247,0.83475,0.7901,0.81428,0.41604,1.71019,0.9704,1.24995,5.95e-05,5.95e-05,5.95e-05
