epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.486,2.20704,3.12527,1.26379,0.79067,0.35891,0.42741,0.16767,2.00748,2.04546,1.20649,0.000332921,0.000332921,0.000332921
2,374.845,2.08608,1.88975,1.22585,0.59516,0.59161,0.47664,0.19714,1.92553,1.6158,1.18563,0.000600295,0.000600295,0.000600295
3,552.623,2.04682,1.62205,1.22302,0.68017,0.50214,0.49718,0.20523,2.0243,1.4246,1.24185,0.00080167,0.00080167,0.00080167
4,729.516,2.00916,1.52862,1.20425,0.58729,0.55493,0.57404,0.24716,1.86565,1.353,1.16788,0.000703,0.000703,0.000703
5,906.561,1.97317,1.43701,1.1889,0.66698,0.62559,0.66261,0.30637,1.83499,1.23888,1.14873,0.000604,0.000604,0.000604
6,1083.35,1.93953,1.37501,1.17263,0.70867,0.64923,0.6833,0.31772,1.80249,1.18933,1.13582,0.000505,0.000505,0.000505
7,1259.97,1.91473,1.31992,1.16243,0.73313,0.6327,0.67161,0.30678,1.7839,1.2464,1.13628,0.000406,0.000406,0.000406
8,1437.09,1.88552,1.26932,1.14616,0.76341,0.62068,0.69334,0.32167,1.80438,1.16996,1.13892,0.000307,0.000307,0.000307
9,1614.27,1.87203,1.22666,1.13744,0.71523,0.69335,0.70897,0.33908,1.75996,1.13925,1.12175,0.000208,0.000208,0.000208
10,1791.39,1.83942,1.19086,1.13433,0.73692,0.73459,0.74443,0.35697,1.78519,1.12689,1.1271,0.000109,0.000109,0.000109
