epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,994.806,2.15245,1.93625,1.30095,0.59039,0.46846,0.48748,0.19963,2.05799,1.95295,1.35096,0.000333087,0.000333087,0.000333087
2,1972.08,2.11604,1.64912,1.27665,0.63176,0.47148,0.47954,0.19585,1.94214,1.50527,1.29252,0.000633433,0.000633433,0.000633433
3,2945.07,2.08042,1.58437,1.25005,0.70174,0.57099,0.595,0.26574,1.92974,1.36579,1.28291,0.000900778,0.000900778,0.000900778
4,3915.66,2.01785,1.48205,1.22965,0.65782,0.56336,0.56105,0.23817,2.05375,1.39902,1.31169,0.0008515,0.0008515,0.0008515
5,4887.8,1.98347,1.41151,1.21178,0.66586,0.61992,0.6545,0.29545,1.95852,1.2999,1.27772,0.000802,0.000802,0.000802
6,5859.59,1.95287,1.36233,1.20103,0.7033,0.57691,0.65183,0.28349,1.91877,1.26004,1.25334,0.0007525,0.0007525,0.0007525
7,6829.07,1.92161,1.30815,1.18416,0.71378,0.64116,0.69348,0.32835,1.82365,1.17649,1.2232,0.000703,0.000703,0.000703
8,7799.26,1.90339,1.25869,1.17622,0.61908,0.74722,0.71665,0.33195,1.86775,1.18355,1.23803,0.0006535,0.0006535,0.0006535
9,8761.35,1.88044,1.22369,1.16504,0.76324,0.70271,0.74668,0.3621,1.81794,1.10284,1.23052,0.000604,0.000604,0.000604
10,9727,1.86799,1.21024,1.16675,0.76124,0.68097,0.74498,0.35989,1.82603,1.11582,1.22187,0.0005545,0.0005545,0.0005545
11,10696.4,1.85769,1.17978,1.20054,0.71881,0.66403,0.72558,0.34473,1.85426,1.169,1.24544,0.000505,0.000505,0.000505
12,11666.3,1.82979,1.14729,1.18866,0.77138,0.73393,0.79057,0.38803,1.78236,1.07398,1.21109,0.0004555,0.0004555,0.0004555
13,12633.1,1.81936,1.11676,1.18993,0.79566,0.73876,0.77812,0.38451,1.78145,1.06144,1.20471,0.000406,0.000406,0.000406
14,13601.3,1.79891,1.08903,1.17844,0.77972,0.74556,0.80609,0.40344,1.77489,1.01318,1.20767,0.0003565,0.0003565,0.0003565
15,14570.5,1.79212,1.0737,1.17151,0.79477,0.7333,0.80478,0.40212,1.77313,1.03048,1.20744,0.000307,0.000307,0.000307
16,15540.5,1.77254,1.03345,1.17042,0.80821,0.74162,0.80526,0.41186,1.73151,1.00467,1.19324,0.0002575,0.0002575,0.0002575
17,16508.5,1.75289,1.01832,1.16401,0.82108,0.73066,0.8004,0.40893,1.71952,0.98914,1.18783,0.000208,0.000208,0.000208
18,17477.5,1.73515,0.98618,1.14827,0.8139,0.74819,0.81159,0.41926,1.71589,0.96098,1.18791,0.0001585,0.0001585,0.0001585
19,18443,1.71714,0.97202,1.1534,0.78953,0.76992,0.80651,0.41388,1.71394,0.95189,1.18856,0.000109,0.000109,0.000109
20,19411.5,1.70039,0.94717,1.14113,0.80265,0.80285,0.83122,0.42505,1.71678,0.93044,1.18643,5.95e-05,5.95e-05,5.95e-05
